id,study_geo,run,library_layout,instrument_model,submission,study,sample,experiment,ftp,pmid,factor,time,stage,bibtexkey
GSM340799,GSE13511,SRR014325,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002288,SRX003151,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014325/SRR014325.fastq.gz,18981474,PPARG,144,3,nielsen_genome-wide_2008
GSM340800,GSE13511,SRR014326,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002289,SRX003152,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014326/SRR014326.fastq.gz,18981474,RXRG,0,0,nielsen_genome-wide_2008
GSM340800,GSE13511,SRR014327,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002289,SRX003152,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014327/SRR014327.fastq.gz,18981474,RXRG,0,0,nielsen_genome-wide_2008
GSM340801,GSE13511,SRR014328,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002290,SRX003153,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014328/SRR014328.fastq.gz,18981474,RXRG,24,1,nielsen_genome-wide_2008
GSM340801,GSE13511,SRR014329,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002290,SRX003153,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014329/SRR014329.fastq.gz,18981474,RXRG,24,1,nielsen_genome-wide_2008
GSM340802,GSE13511,SRR014331,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002291,SRX003154,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014331/SRR014331.fastq.gz,18981474,RXRG,48,1,nielsen_genome-wide_2008
GSM340802,GSE13511,SRR014332,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002291,SRX003154,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014332/SRR014332.fastq.gz,18981474,RXRG,48,1,nielsen_genome-wide_2008
GSM427092,GSE17067,SRR039662,SINGLE - ,Illumina Genome Analyzer II,SRA012440,SRP002283,SRS059060,SRX019011,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039662/SRR039662.fastq.gz,20442865,EP300,NA,3,Macisaac2010
GSM427094,GSE17067,SRR039664,SINGLE - ,Illumina Genome Analyzer II,SRA012440,SRP002283,SRS059062,SRX019013,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039664/SRR039664.fastq.gz,20442865,E2F4,NA,3,Macisaac2010
GSM427095,GSE17067,SRR039665,SINGLE - ,Illumina Genome Analyzer II,SRA012440,SRP002283,SRS059063,SRX019014,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039665/SRR039665.fastq.gz,20442865,CEBPA,NA,3,Macisaac2010
GSM427097,GSE17067,SRR039667,SINGLE - ,Illumina Genome Analyzer II,SRA012440,SRP002283,SRS059065,SRX019016,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039667/SRR039667.fastq.gz,20442865,None,NA,3,Macisaac2010
GSM532740,GSE21314,SRR039820,SINGLE - ,Illumina Genome Analyzer II,SRA012461,SRP002300,SRS059166,SRX019135,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039820/SRR039820.fastq.gz,20176806,PPARG,NA,3,lefterova_cell-specific_2010
GSM532744,GSE21314,SRR039824,SINGLE - ,Illumina Genome Analyzer II,SRA012461,SRP002300,SRS059170,SRX019139,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR039/SRR039824/SRR039824.fastq.gz,20176806,H3K9ac,NA,3,lefterova_cell-specific_2010
GSM535740,GSE21365,SRR040087,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040087/SRR040087.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040088,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040088/SRR040088.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040089,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040089/SRR040089.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040090,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040090/SRR040090.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040091,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040091/SRR040091.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040092,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040092/SRR040092.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040093,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040093/SRR040093.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040094,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040094/SRR040094.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535740,GSE21365,SRR040095,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059635,SRX019362,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040095/SRR040095.fastq.gz,20887899,None,NA,NA,Mikkelsen2010
GSM535741,GSE21365,SRR040096,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059636,SRX019363,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040096/SRR040096.fastq.gz,20887899,H3K4me3,-48,0,Mikkelsen2010
GSM535741,GSE21365,SRR040097,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059636,SRX019363,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040097/SRR040097.fastq.gz,20887899,H3K4me3,-48,0,Mikkelsen2010
GSM535741,GSE21365,SRR040098,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059636,SRX019363,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040098/SRR040098.fastq.gz,20887899,H3K4me3,-48,0,Mikkelsen2010
GSM535742,GSE21365,SRR040099,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059637,SRX019364,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040099/SRR040099.fastq.gz,20887899,H3K4me2,-48,0,Mikkelsen2010
GSM535742,GSE21365,SRR040100,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059637,SRX019364,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040100/SRR040100.fastq.gz,20887899,H3K4me2,-48,0,Mikkelsen2010
GSM535743,GSE21365,SRR040101,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059638,SRX019365,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040101/SRR040101.fastq.gz,20887899,H3K4me1,-48,0,Mikkelsen2010
GSM535743,GSE21365,SRR040102,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059638,SRX019365,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040102/SRR040102.fastq.gz,20887899,H3K4me1,-48,0,Mikkelsen2010
GSM535744,GSE21365,SRR040103,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059639,SRX019366,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040103/SRR040103.fastq.gz,20887899,H3K27ac,-48,0,Mikkelsen2010
GSM535744,GSE21365,SRR040104,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059639,SRX019366,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040104/SRR040104.fastq.gz,20887899,H3K27ac,-48,0,Mikkelsen2010
GSM535745,GSE21365,SRR040105,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059640,SRX019367,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040105/SRR040105.fastq.gz,20887899,H3K27me3,-48,0,Mikkelsen2010
GSM535745,GSE21365,SRR040106,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059640,SRX019367,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040106/SRR040106.fastq.gz,20887899,H3K27me3,-48,0,Mikkelsen2010
GSM535745,GSE21365,SRR040107,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059640,SRX019367,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040107/SRR040107.fastq.gz,20887899,H3K27me3,-48,0,Mikkelsen2010
GSM535745,GSE21365,SRR040108,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059640,SRX019367,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040108/SRR040108.fastq.gz,20887899,H3K27me3,-48,0,Mikkelsen2010
GSM535746,GSE21365,SRR040109,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059641,SRX019368,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040109/SRR040109.fastq.gz,20887899,H3K36me3,-48,0,Mikkelsen2010
GSM535746,GSE21365,SRR040110,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059641,SRX019368,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040110/SRR040110.fastq.gz,20887899,H3K36me3,-48,0,Mikkelsen2010
GSM535747,GSE21365,SRR040111,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059642,SRX019369,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040111/SRR040111.fastq.gz,20887899,CTCF,-48,0,Mikkelsen2010
GSM535747,GSE21365,SRR040112,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059642,SRX019369,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040112/SRR040112.fastq.gz,20887899,CTCF,-48,0,Mikkelsen2010
GSM535748,GSE21365,SRR040113,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059643,SRX019370,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040113/SRR040113.fastq.gz,20887899,H3K4me3,0,0,Mikkelsen2010
GSM535748,GSE21365,SRR040114,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059643,SRX019370,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040114/SRR040114.fastq.gz,20887899,H3K4me3,0,0,Mikkelsen2010
GSM535748,GSE21365,SRR040115,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059643,SRX019370,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040115/SRR040115.fastq.gz,20887899,H3K4me3,0,0,Mikkelsen2010
GSM535748,GSE21365,SRR040116,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059643,SRX019370,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040116/SRR040116.fastq.gz,20887899,H3K4me3,0,0,Mikkelsen2010
GSM535749,GSE21365,SRR040117,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059644,SRX019371,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040117/SRR040117.fastq.gz,20887899,H3K4me2,0,0,Mikkelsen2010
GSM535749,GSE21365,SRR040118,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059644,SRX019371,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040118/SRR040118.fastq.gz,20887899,H3K4me2,0,0,Mikkelsen2010
GSM535750,GSE21365,SRR040119,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059645,SRX019372,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040119/SRR040119.fastq.gz,20887899,H3K4me1,0,0,Mikkelsen2010
GSM535750,GSE21365,SRR040120,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059645,SRX019372,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040120/SRR040120.fastq.gz,20887899,H3K4me1,0,0,Mikkelsen2010
GSM535751,GSE21365,SRR040121,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059646,SRX019373,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040121/SRR040121.fastq.gz,20887899,H3K27ac,0,0,Mikkelsen2010
GSM535751,GSE21365,SRR040122,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059646,SRX019373,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040122/SRR040122.fastq.gz,20887899,H3K27ac,0,0,Mikkelsen2010
GSM535752,GSE21365,SRR040123,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059647,SRX019374,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040123/SRR040123.fastq.gz,20887899,H3K27me3,0,0,Mikkelsen2010
GSM535752,GSE21365,SRR040124,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059647,SRX019374,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040124/SRR040124.fastq.gz,20887899,H3K27me3,0,0,Mikkelsen2010
GSM535753,GSE21365,SRR040125,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059648,SRX019375,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040125/SRR040125.fastq.gz,20887899,H3K36me3,0,0,Mikkelsen2010
GSM535753,GSE21365,SRR040126,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059648,SRX019375,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040126/SRR040126.fastq.gz,20887899,H3K36me3,0,0,Mikkelsen2010
GSM535753,GSE21365,SRR040127,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059648,SRX019375,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040127/SRR040127.fastq.gz,20887899,H3K36me3,0,0,Mikkelsen2010
GSM535753,GSE21365,SRR040128,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059648,SRX019375,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040128/SRR040128.fastq.gz,20887899,H3K36me3,0,0,Mikkelsen2010
GSM535754,GSE21365,SRR040129,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059649,SRX019376,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040129/SRR040129.fastq.gz,20887899,CTCF,0,0,Mikkelsen2010
GSM535754,GSE21365,SRR040130,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059649,SRX019376,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040130/SRR040130.fastq.gz,20887899,CTCF,0,0,Mikkelsen2010
GSM535755,GSE21365,SRR040131,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059650,SRX019377,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040131/SRR040131.fastq.gz,20887899,H3K4me3,48,1,Mikkelsen2010
GSM535755,GSE21365,SRR040132,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059650,SRX019377,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040132/SRR040132.fastq.gz,20887899,H3K4me3,48,1,Mikkelsen2010
GSM535755,GSE21365,SRR040133,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059650,SRX019377,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040133/SRR040133.fastq.gz,20887899,H3K4me3,48,1,Mikkelsen2010
GSM535756,GSE21365,SRR040134,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059651,SRX019378,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040134/SRR040134.fastq.gz,20887899,H3K4me2,48,1,Mikkelsen2010
GSM535756,GSE21365,SRR040135,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059651,SRX019378,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040135/SRR040135.fastq.gz,20887899,H3K4me2,48,1,Mikkelsen2010
GSM535756,GSE21365,SRR040136,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059651,SRX019378,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040136/SRR040136.fastq.gz,20887899,H3K4me2,48,1,Mikkelsen2010
GSM535757,GSE21365,SRR040137,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059652,SRX019379,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040137/SRR040137.fastq.gz,20887899,H3K4me1,48,1,Mikkelsen2010
GSM535757,GSE21365,SRR040138,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059652,SRX019379,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040138/SRR040138.fastq.gz,20887899,H3K4me1,48,1,Mikkelsen2010
GSM535757,GSE21365,SRR040139,SINGLE - ,Illumina Genome Analyzer,SRA012513,SRP002337,SRS059652,SRX019379,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR040/SRR040139/SRR040139.fastq.gz,20887899,H3K4me1,48,1,Mikkelsen2010
